date,sale_index_total,sale_price_total,rent_index_total,rent_price_total,rent_yield_monthly
2021-03-01,222.7212015644,9439.4532994420,152.6796902543,40.0466075349,0.0041992072
2021-04-01,223.2971518926,9463.8634417535,152.5356995085,40.0088399649,0.0041812650
2021-05-01,223.9393781466,9491.0825151511,152.0782405611,39.8888523038,0.0041539049
2021-06-01,224.8309811595,9528.8707676511,151.3315954056,39.6930135157,0.0041167061
2021-07-01,225.7780055501,9569.0079097158,150.7482369594,39.5400034676,0.0040823043
2021-08-01,226.5597592128,9602.1404859571,150.6646760312,39.5180861340,0.0040662621
2021-09-01,227.0138916832,9621.3876982369,150.9644170541,39.5967057009,0.0040650427
2021-10-01,227.4399668492,9639.4457753442,151.3850918507,39.7070451864,0.0040701055
2021-11-01,228.2358516558,9673.1772630128,152.0813187915,39.8896596979,0.0040777773
2021-12-01,229.0552042587,9707.9033716001,152.8613468536,40.0942545436,0.0040881916
2022-01-01,230.1422380180,9753.9744431214,153.6641341905,40.3048189570,0.0040984026
2022-02-01,231.0063062000,9790.5957041137,155.0065383931,40.6569203672,0.0041212362
2022-03-01,232.0456223454,9834.6443898672,156.6803685142,41.0959520278,0.0041501422
2022-04-01,233.2293332539,9884.8128684930,159.1902772347,41.7542801218,0.0041962956
2022-05-01,233.9635073199,9915.9289084635,162.1475104098,42.5299376841,0.0042628066
2022-06-01,234.5145681944,9939.2841766333,164.9814299440,43.2732511083,0.0043284263
2022-07-01,234.7447461566,9949.0396651511,167.5553714541,43.9483744682,0.0043918721
2022-08-01,235.8217021924,9994.6836188227,169.5407717653,44.4691283872,0.0044233057
2022-09-01,237.3186790293,10058.1290512427,171.2336531862,44.9131570446,0.0044388600
2022-10-01,239.0592952361,10131.9004985992,172.7538100365,45.3118814897,0.0044448271
2022-11-01,240.0702354510,10174.7465450461,173.8912536987,45.6102234621,0.0044534941
2022-12-01,240.6491919428,10199.2840957080,175.2196138189,45.9586412268,0.0044749177
2023-01-01,241.3267610087,10228.0010813798,176.4864916085,46.2909326897,0.0045004511
2023-02-01,242.1352947315,10262.2686601469,178.4750505966,46.8125151034,0.0045362350
2023-03-01,243.1789397941,10306.5008156889,180.9464180996,47.4607341579,0.0045792298
2023-04-01,244.2446328295,10351.6674166582,183.2589470832,48.0672911955,0.0046165614
2023-05-01,245.3641844066,10399.1166704971,185.4538529592,48.6429966744,0.0046512369
2023-06-01,246.5265181838,10448.3791355506,188.0990066390,49.3367983916,0.0046969942
2023-07-01,247.3969074122,10485.2682974978,191.0716795161,50.1165056588,0.0047547640
2023-08-01,248.4578118468,10530.2319462010,193.6725955058,50.7987041994,0.0047973779
2023-09-01,249.5727179468,10577.4843136914,194.9167005834,51.1250225702,0.0048036427
2023-10-01,250.7403665926,10626.9720354921,195.8194472533,51.3618054817,0.0048024784
2023-11-01,251.5478886414,10661.1967371112,196.9351331243,51.6544405672,0.0048138631
2023-12-01,251.9448070118,10678.0190799970,198.4839361700,52.0606786701,0.0048429338
2024-01-01,252.6317377573,10707.1328358810,200.2541070276,52.5249797011,0.0048754815
2024-02-01,253.4875801511,10743.4054684424,201.9195612695,52.9618144385,0.0048967390
2024-03-01,254.7722827024,10797.8542126642,204.2087784344,53.5622569807,0.0049259434
2024-04-01,256.2861599749,10862.0159256700,206.3336629525,54.1195964423,0.0049443287
2024-05-01,258.1185736959,10939.6779696184,208.9809138422,54.8139482401,0.0049719752
2024-06-01,259.8975518880,11015.0752889917,211.4368889944,55.4581300096,0.0049964542
2024-07-01,261.4531358616,11081.0046310068,214.0368561539,56.1400796800,0.0050290976
2024-08-01,263.0753688352,11149.7587158776,215.8230868749,56.6085930791,0.0050395306
2024-09-01,264.4706586733,11208.8944118657,216.6354742482,56.8216755018,0.0050311491
2024-10-01,265.9036506856,11269.6280155076,217.7198970371,57.1061105420,0.0050283060
2024-11-01,267.1227814522,11321.2976718158,219.0384898667,57.4519664280,0.0050350026
2024-12-01,268.4653083532,11378.1971492616,221.3354041013,58.0544278473,0.0050618948
2025-01-01,269.5579654226,11424.5065500139,223.4836000111,58.6178816922,0.0050942968
2025-02-01,270.6067079958,11468.9547501543,226.1584401862,59.3194699292,0.0051356135
2025-03-01,271.1933052609,11493.8161349288,228.5896520813,59.9571565032,0.0051804787
2025-04-01,271.9442705166,11525.6438253832,230.9583664460,60.5784504969,0.0052207528
2025-05-01,272.6707549448,11556.4339602422,232.8873886231,61.0844169023,0.0052504001
2025-06-01,273.9242988798,11609.5621283293,234.2940525456,61.4533731004,0.0052574412
2025-07-01,275.2890690942,11667.4043302086,235.4703796630,61.7619138783,0.0052572883
2025-08-01,276.4755043857,11717.6882746564,235.6806418476,61.8170638932,0.0052395829
2025-09-01,277.8787515910,11777.1612227598,236.1082554766,61.9292233765,0.0052228080
2025-10-01,279.1244047991,11829.9549631061,236.5285431921,62.0394613339,0.0052087915
2025-11-01,280.2786865270,11878.8761631909,237.8391690162,62.3832275409,0.0052158294
2025-12-01,280.7054264689,11896.9624150820,239.0053659857,62.6891112656,0.0052331781
2026-01-01,281.1375883075,11915.2784598255,240.0287773681,62.9575435235,0.0052499076
2026-02-01,281.8396002286,11945.0313917345,241.2506308810,63.2780254947,0.0052631016
2026-03-01,283.0248511992,11995.2651418487,242.5905341948,63.6294709427,0.0052699566
2026-04-01,283.5732770774,12018.5087326225,244.7750077536,64.2024401119,0.0053076981
2026-05-01,284.2069446845,12045.3650702419,246.5584012906,64.6702093413,0.0053349668
2026-06-01,284.4309859743,12054.8604720188,247.7292458089,64.9773120792,0.0053566355
2026-07-01,285.4690482553,12098.8560160180,248.4912028216,65.1771670396,0.0053536043
